Date,IndiaAreaWeighted_tmin_C,Year,Month
1960-09-08,72.49819185858617,1960,9
1960-09-09,72.4843592043582,1960,9
1960-09-10,72.44159155229192,1960,9
1960-09-11,72.39822637548437,1960,9
1960-09-12,72.38877137181449,1960,9
1960-09-13,72.4182333728014,1960,9
1960-09-14,72.36306842809581,1960,9
1960-09-15,72.33868710091785,1960,9
1960-09-16,72.12964740183877,1960,9
1960-09-17,72.09086168736758,1960,9
1960-09-18,72.12011145251165,1960,9
1960-09-19,72.28469089305239,1960,9
1960-09-20,72.51546850943562,1960,9
1960-09-21,72.44349014289895,1960,9
1960-09-22,72.72007613014063,1960,9
1960-09-23,72.61988739422632,1960,9
1960-09-24,72.63549322079126,1960,9
1960-09-25,72.53713595636928,1960,9
1960-09-26,72.39262653724046,1960,9
1960-09-27,72.3954850789461,1960,9
1960-09-28,72.25974104968905,1960,9
1960-09-29,72.10103047690426,1960,9
1960-09-30,72.09538548079027,1960,9
1960-10-01,71.99901666882012,1960,10
1960-10-02,72.06816206844417,1960,10
1960-10-03,72.07670856054295,1960,10
1960-10-04,71.7517318677319,1960,10
1960-10-05,71.7866388198015,1960,10
1960-10-06,71.6755392802646,1960,10
1960-10-07,71.84365505710521,1960,10
1960-10-08,72.04683424534646,1960,10
1960-10-09,72.23429278039671,1960,10
1960-10-10,72.07032696071435,1960,10
1960-10-11,71.9072347741782,1960,10
1960-10-12,71.81866553919117,1960,10
1960-10-13,71.72993547503663,1960,10
1960-10-14,71.69567196269216,1960,10
1960-10-15,71.53627868125791,1960,10
1960-10-16,71.44050144809164,1960,10
1960-10-17,71.2719113349749,1960,10
1960-10-18,71.08037994252379,1960,10
1960-10-19,70.88650632577372,1960,10
1960-10-20,70.68667011252488,1960,10
1960-10-21,70.61209944283888,1960,10
1960-10-22,70.65366479954999,1960,10
1960-10-23,70.58897877258568,1960,10
1960-10-24,70.47861480553385,1960,10
1960-10-25,70.35220512745252,1960,10
1960-10-26,70.23596124079191,1960,10
1960-10-27,70.16583721770144,1960,10
1960-10-28,70.10394617813377,1960,10
1960-10-29,70.19154830008384,1960,10
1960-10-30,70.39982769722229,1960,10
1960-10-31,70.31582037606722,1960,10
1960-11-01,70.10633070079614,1960,11
1960-11-02,70.04736297950357,1960,11
1960-11-03,70.1650488906969,1960,11
1960-11-04,70.15380375003889,1960,11
1960-11-05,70.15897176771863,1960,11
1960-11-06,69.9350970446332,1960,11
1960-11-07,69.70258091003116,1960,11
1960-11-08,69.8730933849038,1960,11
1960-11-09,69.741494474729,1960,11
1960-11-10,69.69019462963558,1960,11
1960-11-11,69.67767021790925,1960,11
1960-11-12,69.52448323445294,1960,11
1960-11-13,69.53657174712403,1960,11
1960-11-14,69.47887255233239,1960,11
1960-11-15,69.36276883844725,1960,11
1960-11-16,69.36780888818191,1960,11
1960-11-17,69.23239530296607,1960,11
1960-11-18,69.21941149093297,1960,11
1960-11-19,69.08372610945065,1960,11
1960-11-20,68.98667256894815,1960,11
1960-11-21,69.0847532504106,1960,11
1960-11-22,69.08611849312231,1960,11
1960-11-23,69.04185467444019,1960,11
1960-11-24,68.98854012829113,1960,11
1960-11-25,68.7104611239394,1960,11
1960-11-26,68.48258069782645,1960,11
1960-11-27,68.3795724043742,1960,11
1960-11-28,68.39027759949829,1960,11
1960-11-29,68.34251276561865,1960,11
1960-11-30,68.12915197047029,1960,11
1960-12-01,68.0929500759393,1960,12
1960-12-02,68.09626432374986,1960,12
1960-12-03,68.27906801720148,1960,12
1960-12-04,68.65871989068619,1960,12
1960-12-05,68.94622956982961,1960,12
1960-12-06,68.91225683714842,1960,12
1960-12-07,68.94703402568872,1960,12
1960-12-08,68.96370038470327,1960,12
1960-12-09,69.0422535058802,1960,12
1960-12-10,68.94591405803324,1960,12
1960-12-11,68.67492880029017,1960,12
1960-12-12,68.61700743409004,1960,12
1960-12-13,68.6856377751495,1960,12
1960-12-14,68.71078888299495,1960,12
1960-12-15,68.85521425660059,1960,12
1960-12-16,68.60318778086975,1960,12
1960-12-17,68.59746919304591,1960,12
1960-12-18,68.47235100510652,1960,12
1960-12-19,68.3829550773669,1960,12
1960-12-20,68.26897035124648,1960,12
1960-12-21,68.35219189816907,1960,12
1960-12-22,68.25980581175557,1960,12
1960-12-23,68.34492740798238,1960,12
1960-12-24,68.35841034767245,1960,12
1960-12-25,68.40137157899832,1960,12
1960-12-26,68.46202337223556,1960,12
1960-12-27,68.50721017944866,1960,12
1960-12-28,68.75399689970973,1960,12
1960-12-29,69.18550628503479,1960,12
1960-12-30,69.17692355503064,1960,12
1960-12-31,68.94149403062511,1960,12
1961-01-01,68.80684362259193,1961,1
1961-01-02,68.85926517028408,1961,1
1961-01-03,68.5467503636677,1961,1
1961-01-04,68.1796970641955,1961,1
1961-01-05,67.84850211311736,1961,1
1961-01-06,67.99802967713916,1961,1
1961-01-07,68.01780424643839,1961,1
1961-01-08,68.09381730719885,1961,1
1961-01-09,67.8230621260434,1961,1
1961-01-10,68.1110933865168,1961,1
1961-01-11,68.0887394481311,1961,1
1961-01-12,68.02534716619535,1961,1
1961-01-13,67.89101517718416,1961,1
1961-01-14,68.05661405432032,1961,1
1961-01-15,68.16488004165258,1961,1
1961-01-16,68.21308809273125,1961,1
1961-01-17,68.54692159078357,1961,1
1961-01-18,68.68319683839255,1961,1
1961-01-19,68.71126352800522,1961,1
1961-01-20,68.67120243054136,1961,1
1961-01-21,68.58582599219571,1961,1
1961-01-22,68.58930547795683,1961,1
1961-01-23,68.53131310385635,1961,1
1961-01-24,68.36575411568197,1961,1
1961-01-25,68.54236473321201,1961,1
1961-01-26,68.58340508871588,1961,1
1961-01-27,68.70817229868825,1961,1
1961-01-28,68.85190647016441,1961,1
1961-01-29,68.87450752620194,1961,1
1961-01-30,69.09421011357232,1961,1
1961-01-31,69.44302719147295,1961,1
1961-02-01,69.7330128200322,1961,2
1961-02-02,69.77002132580459,1961,2
1961-02-03,69.34628465516246,1961,2
1961-02-04,69.30906358325593,1961,2
1961-02-05,69.66336892110296,1961,2
1961-02-06,69.39423374168234,1961,2
1961-02-07,69.16272371801018,1961,2
1961-02-08,68.3900348211641,1961,2
1961-02-09,68.08403146873496,1961,2
1961-02-10,68.30838276614386,1961,2
1961-02-11,68.79341168086441,1961,2
1961-02-12,68.66872828753868,1961,2
1961-02-13,68.69520049047716,1961,2
1961-02-14,68.44062503280468,1961,2
1961-02-15,68.34166938540349,1961,2
1961-02-16,68.09092786611455,1961,2
1961-02-17,68.32595304307016,1961,2
1961-02-18,68.70432489653864,1961,2
1961-02-19,68.79749877618366,1961,2
1961-02-20,68.96121254528562,1961,2
1961-02-21,68.91201651328151,1961,2
1961-02-22,68.83663271542649,1961,2
1961-02-23,68.99908237632992,1961,2
1961-02-24,68.95239219792784,1961,2
1961-02-25,68.87445907108244,1961,2
1961-02-26,68.78618355050686,1961,2
1961-02-27,68.88337419492056,1961,2
1961-02-28,69.17527182266268,1961,2
1961-03-01,69.41180064524173,1961,3
1961-03-02,69.85233164192474,1961,3
1961-03-03,69.73568270020621,1961,3
1961-03-04,69.95944497797902,1961,3
1961-03-05,70.30103741963626,1961,3
1961-03-06,69.89951648619174,1961,3
1961-03-07,69.78686245603284,1961,3
1961-03-08,69.79904964277293,1961,3
1961-03-09,69.78259270088289,1961,3
1961-03-10,70.53134959456574,1961,3
1961-03-11,70.71429760417485,1961,3
1961-03-12,70.86688547098707,1961,3
1961-03-13,70.82086872237366,1961,3
1961-03-14,70.95882735968647,1961,3
1961-03-15,71.06244547862931,1961,3
1961-03-16,71.11589698156081,1961,3
1961-03-17,71.25940856912652,1961,3
1961-03-18,70.93070583919484,1961,3
1961-03-19,70.87221645281731,1961,3
1961-03-20,70.60589661130963,1961,3
1961-03-21,70.49417572700135,1961,3
1961-03-22,70.58766255303519,1961,3
1961-03-23,70.99540605951087,1961,3
1961-03-24,70.88697478123703,1961,3
1961-03-25,70.7454716586135,1961,3
1961-03-26,70.40394975999934,1961,3
1961-03-27,70.25240972630742,1961,3
1961-03-28,70.3549635235191,1961,3
1961-03-29,70.57030111603494,1961,3
1961-03-30,70.67210154343323,1961,3
1961-03-31,70.90619489109706,1961,3
1961-04-01,70.91015804047947,1961,4
1961-04-02,70.80208776008968,1961,4
1961-04-03,70.88459392338737,1961,4
1961-04-04,71.305503085291,1961,4
1961-04-05,71.2593694522512,1961,4
1961-04-06,71.43487307205157,1961,4
1961-04-07,71.2340930688327,1961,4
1961-04-08,71.13100978051568,1961,4
1961-04-09,71.39855595456378,1961,4
1961-04-10,71.56465117710594,1961,4
1961-04-11,71.58891061183215,1961,4
1961-04-12,71.88030971839984,1961,4
1961-04-13,71.69453294354864,1961,4
1961-04-14,71.80945272733068,1961,4
1961-04-15,71.5528840661219,1961,4
1961-04-16,71.5267899755159,1961,4
1961-04-17,71.65898881141453,1961,4
1961-04-18,71.87834641909576,1961,4
1961-04-19,72.04311979705875,1961,4
1961-04-20,72.32719257554879,1961,4
1961-04-21,72.32607350206584,1961,4
1961-04-22,72.09991696872635,1961,4
1961-04-23,71.74793081924003,1961,4
1961-04-24,71.65845012048344,1961,4
1961-04-25,71.59626594170672,1961,4
1961-04-26,71.80989116641041,1961,4
1961-04-27,71.86645731842268,1961,4
1961-04-28,72.18135561902544,1961,4
1961-04-29,72.37359913202464,1961,4
1961-04-30,72.32073758960333,1961,4
1961-05-01,72.28275878239093,1961,5
1961-05-02,72.2887305307724,1961,5
1961-05-03,72.41345583370949,1961,5
1961-05-04,72.52096151814833,1961,5
1961-05-05,72.48550166042263,1961,5
1961-05-06,72.40071049181671,1961,5
1961-05-07,72.09666729699046,1961,5
1961-05-08,72.12674493504763,1961,5
1961-05-09,72.37287948355069,1961,5
1961-05-10,72.52297330424143,1961,5
1961-05-11,72.76418984883071,1961,5
1961-05-12,72.5870413352771,1961,5
1961-05-13,72.57218082451396,1961,5
1961-05-14,72.41843899894695,1961,5
