Date,IndiaAreaWeighted_tmax_C,Year,Month
1959-11-19,73.97186925821977,1959,11
1959-11-20,73.93145983564982,1959,11
1959-11-21,73.79661708626087,1959,11
1959-11-22,73.76033995349263,1959,11
1959-11-23,73.71006902173083,1959,11
1959-11-24,73.83715017965326,1959,11
1959-11-25,73.77539389051013,1959,11
1959-11-26,73.78646291954132,1959,11
1959-11-27,73.65301882872248,1959,11
1959-11-28,73.6325087434132,1959,11
1959-11-29,73.46845432905012,1959,11
1959-11-30,73.48917080970031,1959,11
1959-12-01,73.57711427247486,1959,12
1959-12-02,73.5956105467925,1959,12
1959-12-03,73.71521157595265,1959,12
1959-12-04,73.8524450585284,1959,12
1959-12-05,73.82560624848506,1959,12
1959-12-06,73.68053443508637,1959,12
1959-12-07,73.51961853043566,1959,12
1959-12-08,73.38382496551849,1959,12
1959-12-09,73.16897866059679,1959,12
1959-12-10,73.39084955655304,1959,12
1959-12-11,73.5117086191075,1959,12
1959-12-12,73.63915907151336,1959,12
1959-12-13,73.70948686326692,1959,12
1959-12-14,73.74316600328937,1959,12
1959-12-15,74.00057565304762,1959,12
1959-12-16,74.04758572270597,1959,12
1959-12-17,73.65276718510778,1959,12
1959-12-18,73.22391709269802,1959,12
1959-12-19,73.09655027481824,1959,12
1959-12-20,73.09927160963245,1959,12
1959-12-21,73.25596288760659,1959,12
1959-12-22,73.46758582440279,1959,12
1959-12-23,73.165964242006,1959,12
1959-12-24,72.9249107910153,1959,12
1959-12-25,72.83951963117443,1959,12
1959-12-26,73.10745110115937,1959,12
1959-12-27,73.12987541292638,1959,12
1959-12-28,73.1843645367579,1959,12
1959-12-29,73.21828626899631,1959,12
1959-12-30,72.86420502508557,1959,12
1959-12-31,73.1109079858306,1959,12
1960-01-01,72.95526839028845,1960,1
1960-01-02,72.92531399226368,1960,1
1960-01-03,72.95584245615187,1960,1
1960-01-04,73.19815743031825,1960,1
1960-01-05,73.17604384333428,1960,1
1960-01-06,73.04877379023095,1960,1
1960-01-07,73.02602525865363,1960,1
1960-01-08,72.96302038599522,1960,1
1960-01-09,73.09844420635709,1960,1
1960-01-10,73.11668928784555,1960,1
1960-01-11,72.99714106162628,1960,1
1960-01-12,73.13875212735692,1960,1
1960-01-13,73.07403433500436,1960,1
1960-01-14,72.54297540874101,1960,1
1960-01-15,72.74842851444726,1960,1
1960-01-16,72.74282518143923,1960,1
1960-01-17,72.76661586080269,1960,1
1960-01-18,72.63517279839805,1960,1
1960-01-19,72.71128719114225,1960,1
1960-01-20,72.90740355579318,1960,1
1960-01-21,72.9747476922839,1960,1
1960-01-22,72.77463480578899,1960,1
1960-01-23,72.65651770528436,1960,1
1960-01-24,72.75043769978627,1960,1
1960-01-25,72.91885197027364,1960,1
1960-01-26,73.15504899399419,1960,1
1960-01-27,73.24790705447995,1960,1
1960-01-28,73.27532345707867,1960,1
1960-01-29,73.41056797337164,1960,1
1960-01-30,73.52297679231191,1960,1
1960-01-31,73.71898017806222,1960,1
1960-02-01,73.84876327286605,1960,2
1960-02-02,73.85669131758677,1960,2
1960-02-03,73.9170452156694,1960,2
1960-02-04,73.78235731656174,1960,2
